Uniprot ID	Molecular Weight	Mean Lean
Q9Y2J8;	75564	1.58E+01
P62258;	29174	1.55E+01
P07195;	36638	1.54E+01
Q99497;	19891	1.54E+01
Q13011;	35816	1.51E+01
Q13423;	113896	1.45E+01
Q8N142;	50208	1.43E+01
Q99623;	33296	1.43E+01
P08574;	35390	1.38E+01
P36957;	48640	1.38E+01
P02794;	21226	1.36E+01
O75947;	18491	1.35E+01
P47985;	29668	1.30E+01
Q9UBF9;	55395	1.30E+01
Q9Y235;	25703	1.30E+01
P04406;	36053	1.28E+01
P54652;	70021	1.28E+01
O75323;	33743	1.23E+01
P11021;	72422	1.23E+01
P07237;	57116	1.19E+01
P01024;	187306	1.18E+01
P04040;	59756	1.18E+01
P23109;	89763	1.18E+01
Q9UDW1;	7308	1.16E+01
P01023;	163278	1.15E+01
P61604;	10932	1.14E+01
Q9NZU5;	40833	1.14E+01
Q99798;	85425	1.13E+01
O14958;	46436	1.10E+01
O75489;	30242	1.08E+01
P09622;	54150	1.08E+01
P62937;	18012	1.00E+01
-	28048	9.88E+00
O43678;	10922	9.75E+00
P61981;	28303	9.38E+00
Q16795;	42510	9.38E+00
P56385;	8308	9.25E+00
Q16698;	36068	9.25E+00
P02787;	77050	9.13E+00
P30153;	65309	8.88E+00
P31937;	35329	8.63E+00
P09382;	14716	8.50E+00
Q9NP98;	31745	8.50E+00
P45378;	31825	8.38E+00
P49411;	49875	8.38E+00
Q9H7C9;	13332	8.25E+00
O75155;	122682	8.00E+00
P30049;	17490	8.00E+00
P07737;	15054	7.88E+00
P68371;	49831	7.88E+00
P17661;	53536	7.75E+00
P20674;	16774	7.50E+00
Q9H1R3;	64685	7.25E+00
O14949;	9906	7.13E+00
P21912;	31630	7.13E+00
P53597;	36250	7.00E+00
Q9P0J0;	25821	7.00E+00
Q00688;	25177	6.75E+00
P09417;	25790	6.63E+00
P35754;	11776	6.63E+00
-	45160	6.63E+00
-	54819	6.50E+00
P21695;	37568	6.38E+00
P30084;	31387	6.38E+00
P48788;	21339	6.38E+00
Q04760;	20778	6.38E+00
P56134;	10363	6.25E+00
Q16082;	33162	6.25E+00
P08559;	43296	6.13E+00
P18206;	116722	6.13E+00
P55072;	89322	6.13E+00
P81605;	11284	6.13E+00
Q9NQC3;	22395	6.00E+00
O14561;	17417	5.88E+00
P49189;	56292	5.75E+00
P10606;	13696	5.63E+00
P30048;	27693	5.63E+00
Q14974;	97170	5.38E+00
P00568;	21635	5.25E+00
P07384;	81890	5.25E+00
P56556;	17871	5.25E+00
O00330;	54122	5.13E+00
P10809;	61213	5.13E+00
P34932;	94300	5.13E+00
P50395;	50663	5.13E+00
Q9NZ45;	12199	5.13E+00
Q9NZN4;	61161	5.13E+00
O00217;	23705	5.00E+00
P27824;	67568	5.00E+00
P30566;	54889	5.00E+00
P43304;	38419	5.00E+00
P00352;	54862	4.88E+00
P06703;	10180	4.88E+00
P10644;	42982	4.88E+00
P31040;	72692	4.88E+00
P36871;	61449	4.88E+00
Q9NRX4;	13833	4.88E+00
P60900;	27399	4.63E+00
P16219;	44297	4.50E+00
Q8WUM4;	96818	4.50E+00
Q9NX63;	26152	4.50E+00
P05091;	56381	4.38E+00
O60664;	47047	4.25E+00
P11310;	46588	4.25E+00
Q12931;	80110	4.13E+00
P07954;	54637	4.00E+00
P13804;	35080	4.00E+00
P24298;	54637	4.00E+00
P51970;	20105	4.00E+00
Q9Y613;	126551	4.00E+00
-	125308	4.00E+00
P21399;	98399	3.88E+00
P55822;	26058	3.88E+00
P63173;	8218	3.88E+00
Q5HYK3;	37140	3.88E+00
Q8N3L3;	76519	3.88E+00
Q96A26;	17342	3.75E+00
Q9Y2Z9;	50870	3.75E+00
O95292;	27228	3.63E+00
P02652;	11175	3.50E+00
P07437;	49671	3.50E+00
P30043;	22594	3.50E+00
P49773;	13802	3.50E+00
Q08043;	103294	3.50E+00
Q9UIJ7;	25565	3.50E+00
P61088;	17138	3.38E+00
Q07020;	21634	3.38E+00
Q14195;	73910	3.38E+00
P55290;	78287	3.25E+00
P32119;	21892	3.13E+00
Q9NSE4;	113792	3.13E+00
P14625;	92469	3.00E+00
Q9NPJ3;	14960	3.00E+00
-	198561	3.00E+00
O95831;	66901	2.88E+00
P38646;	73680	2.88E+00
Q13200;	100200	2.88E+00
Q15124;	62225	2.88E+00
Q9BXK5;	52723	2.88E+00
Q9Y376;	39869	2.88E+00
Q9Y5L4;	10500	2.88E+00
P26447;	11729	2.75E+00
P28074;	28480	2.75E+00
P78371;	57488	2.75E+00
Q8NI60;	71950	2.75E+00
Q9Y4W6;	88584	2.75E+00
O43676;	11402	2.63E+00
O95182;	12551	2.63E+00
P35241;	68564	2.63E+00
Q9Y277;	30659	2.63E+00
-	40411	2.63E+00
O95747;	58022	2.50E+00
P04843;	72778	2.50E+00
P05387;	11665	2.50E+00
P23396;	26688	2.50E+00
Q92523;	95370	2.50E+00
Q9BQ69;	35505	2.50E+00
Q9BXS1;	26753	2.50E+00
O75923;	237381	2.38E+00
P08133;	75873	2.38E+00
P15090;	14719	2.38E+00
P20073;	52739	2.38E+00
Q9UHG3;	56640	2.38E+00
Q9Y3D6;	16938	2.38E+00
P01011;	50598	2.25E+00
P07099;	52949	2.25E+00
P13861;	45518	2.25E+00
P24539;	28909	2.25E+00
P28066;	26411	2.25E+00
P42765;	41924	2.25E+00
P17568;	16402	2.13E+00
P18859;	12588	2.13E+00
P26641;	50119	2.13E+00
P49821;	50817	2.13E+00
P51149;	23490	2.13E+00
P51649;	57215	2.13E+00
P55060;	110417	2.13E+00
P63302;	9561	2.13E+00
Q9BR39;	74222	2.13E+00
Q9UBQ7;	35668	2.13E+00
-	70052	2.13E+00
O14880;	16516	2.00E+00
O75390;	51712	2.00E+00
P30044;	22026	2.00E+00
P36542;	32881	2.00E+00
Q13526;	18243	2.00E+00
Q16851;	56940	2.00E+00
Q6NZI2;	43476	2.00E+00
Q8NDY3;	40105	2.00E+00
O00505;	57811	1.88E+00
O15273;	19052	1.88E+00
P00491;	32551	1.88E+00
P02790;	51676	1.88E+00
P12277;	42644	1.88E+00
P13798;	81225	1.88E+00
P13805;	30096	1.88E+00
P17980;	49204	1.88E+00
P35232;	29804	1.88E+00
P50995;	54390	1.88E+00
Q16816;	45464	1.88E+00
Q8N1G4;	63473	1.88E+00
Q99807;	24307	1.88E+00
-	80700	1.88E+00
O75891;	98829	1.75E+00
O95168;	15209	1.75E+00
P07339;	44552	1.75E+00
P07738;	30005	1.75E+00
P17987;	60344	1.75E+00
P35998;	48634	1.75E+00
P45974;	95786	1.75E+00
P54578;	56069	1.75E+00
Q96IU4;	22346	1.75E+00
Q9Y512;	51976	1.75E+00
O95817;	61595	1.63E+00
P04632;	28316	1.63E+00
P05556;	88415	1.63E+00
P31939;	64616	1.63E+00
P50990;	59779	1.63E+00
P50991;	57924	1.63E+00
-	34144	1.63E+00
-	36319	1.63E+00
-	53062	1.63E+00
O00231;	47535	1.50E+00
O75306;	52546	1.50E+00
P02675;	55928	1.50E+00
P20618;	26489	1.50E+00
P61020;	23707	1.50E+00
P62277;	17222	1.50E+00
Q04446;	80460	1.50E+00
Q05639;	50470	1.50E+00
Q13643;	31291	1.50E+00
Q9HDC5;	71686	1.50E+00
-	175077	1.50E+00
O14980;	123386	1.38E+00
P00738;	46723	1.38E+00
P07203;	22041	1.38E+00
P09874;	113084	1.38E+00
P14868;	57136	1.38E+00
P39656;	50801	1.38E+00
Q13442;	20630	1.38E+00
Q15084;	53901	1.38E+00
Q9Y6E2;	48162	1.38E+00
-	80643	1.38E+00
P00387;	31629	1.25E+00
P30050;	17819	1.25E+00
P61026;	22541	1.25E+00
P61081;	20900	1.25E+00
Q13554;	72678	1.25E+00
Q14353;	26318	1.25E+00
Q99460;	105836	1.25E+00
Q9NSD9;	66130	1.25E+00
Q9UKS6;	48487	1.25E+00
-	87763	1.25E+00
P08237	93254	1.25E+00
O43242;	60978	1.13E+00
O60784;	53875	1.13E+00
O75223;	21008	1.13E+00
P19367;	102738	1.13E+00
P20807;	94254	1.13E+00
P25787;	25899	1.13E+00
P28070;	29204	1.13E+00
P31946;	28082	1.13E+00
P54646;	62320	1.13E+00
P61019;	23546	1.13E+00
Q86TD4;	100788	1.13E+00
Q9BSJ8;	122856	1.13E+00
Q9NTK5;	44744	1.13E+00
-	54088	1.13E+00
O95373;	119702	1.00E+00
P10636;	80891	1.00E+00
P16152;	30375	1.00E+00
P23327;	80244	1.00E+00
P23528;	18502	1.00E+00
P27338;	58763	1.00E+00
P48163;	64150	1.00E+00
P48643;	59671	1.00E+00
P54920;	33233	1.00E+00
P68036;	17862	1.00E+00
Q12988;	16966	1.00E+00
Q9H0U4;	22171	1.00E+00
-	126522	1.00E+00
O95299;	40751	8.75E-01
O96000;	20777	8.75E-01
P13693;	21526	8.75E-01
P16402;	22350	8.75E-01
P30038;	61719	8.75E-01
P47897;	89657	8.75E-01
Q15819;	16363	8.75E-01
Q96QK1;	91707	8.75E-01
-	76483	8.75E-01
O94760;	31122	7.50E-01
P09960;	69285	7.50E-01
P21266;	26560	7.50E-01
P23786;	73777	7.50E-01
P33176;	109685	7.50E-01
P49721;	22836	7.50E-01
P60709	41737	7.50E-01
P62140;	37187	7.50E-01
P62191;	49185	7.50E-01
P63241;	20170	7.50E-01
Q06830;	22110	7.50E-01
Q9BW30;	18985	7.50E-01
-	131693	7.50E-01
P49720;	22949	6.25E-01
Q9Y2K3;	224611	6.25E-01
Q9Y6B6;	22410	6.25E-01
O14818;	27887	5.00E-01
P10768;	31463	5.00E-01
P30101;	56782	5.00E-01
P51812;	83736	5.00E-01
Q93034;	96726	5.00E-01
Q99627;	23226	5.00E-01
P54727;	43171	3.75E-01
Q16543;	44468	3.75E-01
Q99832;	59367	3.75E-01
Q9Y6C9;	33331	3.75E-01
-	24679	3.75E-01
